Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Nationality,Draft Year,Draft Pick
2022,Nate Hinton,SF,77,210,22,IND,2,1,Houston,United States,"2020 NBA Draft, Undrafted",NA
2022,Jaylen Hoard,PF,80,216,22,OKC,7,2,Wake Forest,France,"2019 NBA Draft, Undrafted",NA
2022,Aaron Holiday,PG,72,185,25,"PHX, WAS",63,3,UCLA,United States,2018 ,23
2022,Jrue Holiday,G,76,205,31,MIL,67,12,UCLA,United States,2009 ,17
2022,Justin Holiday,SF,78,181,32,"IND, SAC",74,8,Washington,United States,"2011 NBA Draft, Undrafted",NA
2022,Richaun Holmes,F,82,240,28,SAC,45,6,Bowling Green,United States,2015 ,14
2022,Rodney Hood,F,80,205,29,"LAC, MIL",52,7,Duke,United States,2014 ,23
2022,Scotty Hopson,GF,79,204,32,OKC,1,3,Tennessee,United States,"2011 NBA Draft, Undrafted",NA
2022,Al Horford,FC,81,240,35,BOS,69,14,Florida,Dominican RepublicUnited States,2007 ,3
2022,Talen Horton-Tucker,SF,76,233,21,LAL,60,2,Iowa State,United States,2019 ,32
2022,Danuel House,F,78,215,28,"HOU, NYK, UTH",42,5,Texas A&M,United States,"2016 NBA Draft, Undrafted",NA
2022,Dwight Howard,C,83,265,36,LAL,60,17,Southwest Atlanta Christian Academy (Georgia),United States,2004 ,1
2022,Markus Howard,SG,71,180,22,DEN,31,1,Marquette,United States,"2020 NBA Draft, Undrafted",NA
2022,Kevin Huerter,SF,79,190,23,ATL,74,3,Maryland,United States,2018 ,19
2022,Jay Huff,C,85,240,23,LAL,4,0,Virginia,United States,"2021 NBA Draft, Undrafted",NA
2022,Elijah Hughes,SF,78,215,23,"POR, UTH",36,1,Syracuse,United States,2020 ,18
2022,Feron Hunt,SF,80,195,22,NYK,2,0,Southern Methodist,United States,"2021 NBA Draft, Undrafted",NA
2022,De'Andre Hunter,PF,79,225,24,ATL,53,2,Virginia,United States,2019 ,4
2022,Chandler Hutchison,SG,79,197,25,PHX,6,3,Boise State,United States,2018 ,22
2022,Bones Hyland,G,75,173,21,DEN,69,0,VCU,United States,2021 ,26
2022,Serge Ibaka,C,82,235,32,"LAC, MIL",54,12,CB L'Hospitalet (Spain),Republic of the CongoSpain,2008 ,24
2022,Andre Iguodala,SF,78,215,38,GSW,31,17,Arizona,United States,2004 ,9
2022,Joe Ingles,F,80,226,34,UTA,45,7,Melbourne South (Australia),Australia,"2009 NBA Draft, Undrafted",NA
2022,Brandon Ingram,SF,79,190,24,NOP,55,5,Duke,United States,2016 ,2
2022,Kyrie Irving,G,74,191,29,BRK,29,10,Duke,United StatesAustralia,2011 ,1
2022,Wesley Iwundu,F,78,195,27,ATL,3,4,Kansas State,United States,2017 ,6
